name,address,phone,rating,reviews,category
Go Activ International,"R V Road Cross Basavanagudi, Bangalore",9980235474,4.8,107.0,Gyms
Emerge Private Fitness Studio,"24th Cross Jayanagar 6th Block, Bangalore",9606166994,4.8,1.0,Gyms
4th Station Gym,"2nd Block Basaveshwara Nagar, Bangalore",6366558724,4.5,467.0,Gyms
Emerge Premium Fitness Studio,"S Kariyappa Road Jayanagar 7th Block, Bangalore",9054821932,4.8,119.0,Gyms
Iconic Fitness Koramangala,"Wipro Signal Koramangala 1st Block, Bangalore",8904249820,4.7,802.0,Gyms
Fitness Race,"Dinnur Main Road Rt Nagar, Bangalore",8105032618,4.5,382.0,Gyms
Witness The Fitness,"Devachikkahalli Main Road Begur, Bangalore",7041567319,4.9,395.0,Gyms
Zero 3,"29th Cross Main Road Kaggadasapura Road, Bangalore",7048312669,5.0,1.0,Gyms
Tenzee Multisports,"Bannerghatta Main Road Bilekahalli, Bangalore",9724613948,4.3,187.0,Gyms
Jaguar Fitness Maruthi Nagar,"Maruthi Nagar Madiwala, Bangalore",8511066401,4.6,367.0,Gyms
Kittys Muscle Planet,"Modi Hospital Road Basaveshwara Nagar, Bangalore",8460484369,4.9,367.0,Gyms
Athletes Revolution Fitness Center,"Oil Mill Road Kammanahalli, Bangalore",8401150426,5.0,211.0,Gyms
Clout Fit,"Whitefield Hoskote Road Belathur, Bangalore",8401264082,4.9,671.0,Gyms
Emerge Private Fitness Studio - RR Nagar,"Rajarajeshwari Nagar, Bangalore",9606292814,4.9,565.0,Gyms
Get Sculpt Here,"Ambedkar Nagar Hill Top Whitefield, Bangalore",7041151920,3.5,2.0,Gyms
Emerge Fitness Studio and Sports Arena Kengeri,"Kengeri Ring Road Gnanabharathi, Bangalore",8123790528,4.5,14.0,Gyms
Rowell Fitness,"1st Jp Nagar 7th Phase, Bangalore",9035018526,4.9,449.0,Gyms
Gonature Fitness Centre,"4th Phase Yelahanka New Town, Bangalore",9035079230,4.5,285.0,Gyms
Fit Society,"Bull Temple Main Road Basavanagudi, Bangalore",9845270206,4.9,214.0,Gyms
Sunrise Fitness,"4th Cross Sudhama Nagar, Bangalore",9980209662,4.6,24.0,Gyms
Clout Fit,"Kodigehalli Main Road Krishnarajapuram, Bangalore",8401768770,4.7,722.0,Gyms
Skanda Fitness Centrer,"8th Cross Kaveri Kantha Koramangala, Bangalore",7411829469,4.8,542.0,Gyms
Apple Fitness,"18th Main Road Jayanagar 4th T Block, Bangalore",8460415524,4.1,752.0,Gyms
Silhouette Fitness,"24th Cross Road Banashankari 2nd Stage, Bangalore",9980229160,4.6,652.0,Gyms
Finix Fitness Studio,"Gandhi Bazar Main Road Basavanagudi, Bangalore",8050765716,4.6,883.0,Gyms
Vivs Gym,"Mosque Road Frazer Town, Bangalore",8050264059,4.3,262.0,Gyms
Excel Dance and Fitness,"BTM 4th Stage Vijaya Bank Layout, Bangalore",8490888466,4.5,74.0,Gyms
Bmf Station Body Mind Fit,"Muneshwara Block Banashankari 3rd Stage, Bangalore",8460510367,4.6,114.0,Gyms
Shields Fitness Club,"Vani Vilas Road Basavanagudi, Bangalore",9980543710,4.7,569.0,Gyms
