name,address,phone,rating,reviews,category,Medium,City,area,is_near_duplicate,missing_contact,invalid_phone
Go Activ International,"R V Road Cross Basavanagudi, Bangalore",9980235474,4.8,107,Gym,JustDial,Bangalore,R V Road Cross Basavanagudi,False,False,False
Emerge Private Fitness Studio,"24th Cross Jayanagar 6th Block, Bangalore",9606166994,4.8,1,Gym,JustDial,Bangalore,Jayanagar,True,False,False
4th Station Gym,"2nd Block Basaveshwara Nagar, Bangalore",6366558724,4.5,467,Gym,JustDial,Bangalore,Basaveshwara Nagar,True,False,False
Emerge Premium Fitness Studio,"S Kariyappa Road Jayanagar 7th Block, Bangalore",9054821932,4.8,119,Gym,JustDial,Bangalore,S Kariyappa Road Jayanagar,True,False,False
Iconic Fitness Koramangala,"Wipro Signal Koramangala 1st Block, Bangalore",8904249820,4.7,802,Gym,JustDial,Bangalore,Wipro Signal Koramangala,True,False,False
Fitness Race,"Dinnur Main Road Rt Nagar, Bangalore",8105032618,4.5,382,Gym,JustDial,Bangalore,Dinnur Main Road Rt Nagar,True,False,False
Witness The Fitness,"Devachikkahalli Main Road Begur, Bangalore",7041567319,4.9,395,Gym,JustDial,Bangalore,Devachikkahalli Main Road Begur,True,False,False
Zero 3,"29th Cross Main Road Kaggadasapura Road, Bangalore",7048312669,5.0,1,Gym,JustDial,Bangalore,Main Road Kaggadasapura Road,True,False,False
Tenzee Multisports,"Bannerghatta Main Road Bilekahalli, Bangalore",9724613948,4.3,187,Gym,JustDial,Bangalore,Bannerghatta Main Road Bilekahalli,True,False,False
Jaguar Fitness Maruthi Nagar,"Maruthi Nagar Madiwala, Bangalore",8511066401,4.6,367,Gym,JustDial,Bangalore,Maruthi Nagar Madiwala,True,False,False
Kittys Muscle Planet,"Modi Hospital Road Basaveshwara Nagar, Bangalore",8460484369,4.9,367,Gym,JustDial,Bangalore,Modi Hospital Road Basaveshwara Nagar,True,False,False
Athletes Revolution Fitness Center,"Oil Mill Road Kammanahalli, Bangalore",8401150426,5.0,211,Gym,JustDial,Bangalore,Oil Mill Road Kammanahalli,True,False,False
Clout Fit,"Whitefield Hoskote Road Belathur, Bangalore",8401264082,4.9,671,Gym,JustDial,Bangalore,Whitefield Hoskote Road Belathur,True,False,False
Emerge Private Fitness Studio - RR Nagar,"Rajarajeshwari Nagar, Bangalore",9606292814,4.9,565,Gym,JustDial,Bangalore,Rajarajeshwari Nagar,False,False,False
Get Sculpt Here,"Ambedkar Nagar Hill Top Whitefield, Bangalore",7041151920,3.5,2,Gym,JustDial,Bangalore,Ambedkar Nagar Hill Top Whitefield,True,False,False
Emerge Fitness Studio and Sports Arena Kengeri,"Kengeri Ring Road Gnanabharathi, Bangalore",8123790528,4.5,14,Gym,JustDial,Bangalore,Kengeri Ring Road Gnanabharathi,True,False,False
Rowell Fitness,"1st Jp Nagar 7th Phase, Bangalore",9035018526,4.9,449,Gym,JustDial,Bangalore,1st Jp Nagar 7th Phase,True,False,False
Gonature Fitness Centre,"4th Phase Yelahanka New Town, Bangalore",9035079230,4.5,285,Gym,JustDial,Bangalore,4th Phase Yelahanka New Town,False,False,False
Fit Society,"Bull Temple Main Road Basavanagudi, Bangalore",9845270206,4.9,214,Gym,JustDial,Bangalore,Bull Temple Main Road Basavanagudi,True,False,False
Sunrise Fitness,"4th Cross Sudhama Nagar, Bangalore",9980209662,4.6,24,Gym,JustDial,Bangalore,Sudhama Nagar,False,False,False
Clout Fit,"Kodigehalli Main Road Krishnarajapuram, Bangalore",8401768770,4.7,722,Gym,JustDial,Bangalore,Kodigehalli Main Road Krishnarajapuram,True,False,False
Skanda Fitness Centrer,"8th Cross Kaveri Kantha Koramangala, Bangalore",7411829469,4.8,542,Gym,JustDial,Bangalore,Kaveri Kantha Koramangala,True,False,False
Apple Fitness,"18th Main Road Jayanagar 4th T Block, Bangalore",8460415524,4.1,752,Gym,JustDial,Bangalore,Jayanagar,True,False,False
Silhouette Fitness,"24th Cross Road Banashankari 2nd Stage, Bangalore",9980229160,4.6,652,Gym,JustDial,Bangalore,Road Banashankari 2nd Stage,True,False,False
Finix Fitness Studio,"Gandhi Bazar Main Road Basavanagudi, Bangalore",8050765716,4.6,883,Gym,JustDial,Bangalore,Gandhi Bazar Main Road Basavanagudi,True,False,False
Vivs Gym,"Mosque Road Frazer Town, Bangalore",8050264059,4.3,262,Gym,JustDial,Bangalore,Mosque Road Frazer Town,True,False,False
Excel Dance and Fitness,"BTM 4th Stage Vijaya Bank Layout, Bangalore",8490888466,4.5,74,Gym,JustDial,Bangalore,BTM 4th Stage Vijaya Bank Layout,True,False,False
Bmf Station Body Mind Fit,"Muneshwara Block Banashankari 3rd Stage, Bangalore",8460510367,4.6,114,Gym,JustDial,Bangalore,Muneshwara Block Banashankari 3rd Stage,True,False,False
Shields Fitness Club,"Vani Vilas Road Basavanagudi, Bangalore",9980543710,4.7,569,Gym,JustDial,Bangalore,Vani Vilas Road Basavanagudi,True,False,False
Wow Fitness Gym At Isro Layout,"Stage 2 Isro Layout, Bangalore",7041554537,4.8,506,Gym,JustDial,Bangalore,Stage 2 Isro Layout,False,False,False
Elite Squad Gymnastics Academy (Chandapura),"Marsur Gate Marsur, Bangalore",07383740174,4.8,29,Fitness Studio,JustDial,Bangalore,Marsur Gate Marsur,False,False,False
Iconic Fitness Koramangala,"Wipro Signal Koramangala 1st Block, Bangalore",08904249820,4.7,802,Fitness Studio,JustDial,Bangalore,Wipro Signal Koramangala,True,False,False
Vivs Gym,"Mosque Road Frazer Town, Bangalore",08050264059,4.3,262,Fitness Studio,JustDial,Bangalore,Mosque Road Frazer Town,True,False,False
Excel Dance and Fitness,"BTM 4th Stage Vijaya Bank Layout, Bangalore",08490888466,4.5,74,Fitness Studio,JustDial,Bangalore,BTM 4th Stage Vijaya Bank Layout,True,False,False
