name,address,phone,rating,reviews,category
Elite Squad Gymnastics Academy (Chandapura),"Marsur Gate Marsur, Bangalore",07383740174,4.8,29,Fitness-Studio
Iconic Fitness Koramangala,"Wipro Signal Koramangala 1st Block, Bangalore",08904249820,4.7,802,Fitness-Studio
Vivs Gym,"Mosque Road Frazer Town, Bangalore",08050264059,4.3,262,Fitness-Studio
Excel Dance and Fitness,"BTM 4th Stage Vijaya Bank Layout, Bangalore",08490888466,4.5,74,Fitness-Studio
Shubha Sangeetha Mattu Nrutya Paata Shale,"Nagadevanahalli-gnanabharathi, Bangalore",09980149688,4.1,11,Fitness-Studio
Skanda Fitness Centrer,"8th Cross Kaveri Kantha Koramangala, Bangalore",07411829469,4.8,542,Fitness-Studio
Fit Society,"Bull Temple Main Road Basavanagudi, Bangalore",09845270206,4.9,214,Fitness-Studio
Reckon Dance Zumba & Fitness Studio LLP,"Dr. Shivaramkaranth Nagar Mcehslayout Hegde Nagar, Bangalore",07490847214,4.7,101,Fitness-Studio
Prafitz Dance & Fitness,"Immadihalli Main Road Whitefield, Bangalore",07487861570,4.9,49,Fitness-Studio
Shields Fitness Club,"Vani Vilas Road Basavanagudi, Bangalore",09980543710,4.7,569,Fitness-Studio
Silhouette Fitness,"24th Cross Road Banashankari 2nd Stage, Bangalore",09980229160,4.6,652,Fitness-Studio
Rowell Fitness,"1st Jp Nagar 7th Phase, Bangalore",09035018526,4.9,449,Fitness-Studio
Fitness Race,"Dinnur Main Road Rt Nagar, Bangalore",08105032618,4.5,382,Fitness-Studio
Apple Fitness,"18th Main Road Jayanagar 4th T Block, Bangalore",08460415524,4.1,752,Fitness-Studio
Emerge Fitness Studio and Sports Arena Kengeri,"Kengeri Ring Road Gnanabharathi, Bangalore",08123790528,4.5,14,Fitness-Studio
Get Sculpt Here,"Ambedkar Nagar Hill Top Whitefield, Bangalore",07041151920,3.5,2,Fitness-Studio
Shorin Ryu Karate Do Martial Arts Fitness Clubs,"Gandhi Circle Varthur Varthur, Bangalore",09980239396,4.6,11,Fitness-Studio
