area,total_centres,total_reviews,demand_supply_ratio
Next to G T Residential Layout Laggere,1,962,962.0
Road C V Raman Nagar,1,922,922.0
Residency Road Residency Road,1,910,910.0
8th Mile Peenya Nagasandra,1,892,892.0
Girinagar,1,889,889.0
Green Glen Layout Bellandur,1,884,884.0
Gandhi Bazar Main Road Basavanagudi,2,1766,883.0
Marathahalli Sarjapur Road HSR Layout,1,871,871.0
Venkateshwara Layout,1,841,841.0
Opposite BMTC Bus Stand Chandra Layout,1,832,832.0
Kumaraswamy Layout 2 Stage,1,815,815.0
21st Km Kanakapura Road,1,811,811.0
Wipro Signal Koramangala,2,1604,802.0
Krishnappa Garden C V Raman Nagar,1,797,797.0
K H Road Shanthinagar,1,796,796.0
Btm 6th Stage Hulimavu,1,792,792.0
Amruthur Road Yediyur,1,791,791.0
Bannerghatta Main Road BTM Layout 2nd Stage,1,782,782.0
Brookefield,1,717,717.0
Hsr Layout Sector 2,1,709,709.0
Munnekollal Marathahalli,1,702,702.0
80 Feet Road Koramangala,1,689,689.0
Manipalcounty Road Bommanahalli,1,687,687.0
Rachenahalli Bengaluru Thanisandra,1,678,678.0
Whitefield Hoskote Road Belathur,2,1342,671.0
Road Banashankari 2nd Stage,2,1304,652.0
Thindlu Main Road Vidyaranyapura,1,643,643.0
Road Bannerghatta Road,1,634,634.0
Electronic City,2,1244,622.0
Outer Ring Road Hrbr Layout,2,1240,620.0
Old Airport Road Old Airport Road,2,1238,619.0
Yellanahalli,1,608,608.0
Brigade Road Brigade Road,2,1188,594.0
Bannerghatta Road Akshayanagar,1,587,587.0
100 Feet Inner Ring Road Koramangala,3,1752,584.0
Rajajinagar 2nd Stage,1,581,581.0
Lakshmi Srinivasa Complex Rt Nagar,1,569,569.0
Vani Vilas Road Basavanagudi,2,1138,569.0
Road Devarachikkana Halli,1,568,568.0
Sultan Palya Main Road Rt Nagar,1,556,556.0
Mg Layout Mullur,1,555,555.0
Kodigehalli Police Station Kodigehalli,1,554,554.0
An Gupta Layout,1,553,553.0
2nd Stage Indiranagar,1,552,552.0
Road Jakkasandra,1,547,547.0
HORAMAVU MAIN ROAD Horamavu,1,547,547.0
Kaveri Kantha Koramangala,2,1084,542.0
Marathahalli Sarjapur Road Kaikondrahalli,1,535,535.0
Vyalikaval Hbcs Layout Nagawara,1,521,521.0
Vmr Complex 4th Floor Kundalahalli,1,520,520.0
Guddahalli Thammenahalli Village,1,520,520.0
Kodigehalli Main Road Krishnarajapuram,3,1538,512.6666666666666
Stage 2 Isro Layout,1,506,506.0
Hebbagodi,1,493,493.0
Anekal Main Road Tavarekere Road,1,486,486.0
Bellary Road Sadashivanagar,1,478,478.0
19 Khb Colony Bengaluru Koramangala,2,952,476.0
HRBR Layout Kalyan Nagar,1,476,476.0
Kammanahalli Main Road Kammanahalli,1,469,469.0
Seegehalli Road Chaitanya Ananya,1,458,458.0
1st Jp Nagar 7th Phase,2,898,449.0
80 Feet Road Kathriguppe,1,448,448.0
Rajarajeshwari Nagar,2,867,433.5
Road Koramangala,2,851,425.5
Devachikkahalli Main Road Begur,2,790,395.0
Guava Garden KHB Road Koramangala,1,387,387.0
Dinnur Main Road Rt Nagar,3,1146,382.0
Govindaraj Nagar-Vijaynagar,1,372,372.0
Anekal Taluk Attibele,1,371,371.0
Modi Hospital Road Basaveshwara Nagar,2,734,367.0
Maruthi Nagar Madiwala,4,1468,367.0
Kumaraswamy Layout Kumaraswamy Layout 1st Stage,1,366,366.0
VENKATESH MURTHY RD. Banashankari,1,366,366.0
Yelahanka New Town,2,730,365.0
Road HSR Layout,2,703,351.5
Sadashivanagar,3,1054,351.3333333333333
Ranka Colony Road Bilekahalli,1,350,350.0
9th Crs Jayanagar,1,348,348.0
Hessargatta Main Road,1,347,347.0
Banaswadi Main Road Banaswadi,1,337,337.0
CBI Road Rt Nagar,1,335,335.0
80 Feet Road HAL 2nd Stage Indiranagar,1,329,329.0
Hoysala Nagar-Indiranagar,2,644,322.0
Rajajinagar,3,965,321.6666666666667
Basavanagar Main Road Basava Nagar,1,321,321.0
Bengaluru Jayanagar,1,319,319.0
100 Feet Main Road Jayanagar,1,317,317.0
80 Feet Road Vijayanagar,1,316,316.0
Balaji Street Ramamurthy Nagar,1,313,313.0
2nd Floor Jp Nagar 7th Phase,1,308,308.0
Road Circular Street,1,302,302.0
Street No 2 Lalammagarden Manikonda,1,301,301.0
Street No:2 Manikonda,1,301,301.0
Jp Nagar,1,299,299.0
Road Jayanagar,1,295,295.0
Kalyan Nagar,3,869,289.6666666666667
Bangarappanagar Main Road Bangarappanagar,1,288,288.0
4th Phase Yelahanka New Town,1,285,285.0
Road Kasturi Nagar,1,284,284.0
Nandhini Layout. Nandini Layout,1,284,284.0
Sharada Nagar-Bikasipura,1,282,282.0
Jayanagar,11,3101,281.90909090909093
New Kantharaj Urs Road Tk Layout,1,281,281.0
KV Layout Jayanagar,1,278,278.0
E Block Brookefield,1,276,276.0
BTM Layout 2nd Stage,2,552,276.0
Ramamurthy Nagara Main Road Ramamurthy Nagar,1,273,273.0
Kammanahalli,1,259,259.0
Koramangala,6,1548,258.0
Malleswaram,3,772,257.3333333333333
Basaveshwara Nagar,4,1023,255.75
Bannerghatta Main Road Bannerghatta Road,1,254,254.0
Sanatana Eternal 1st Floor Himayat Nagar,1,250,250.0
Rrmp Extension K H Road,1,250,250.0
Kormangala Koramangala,1,249,249.0
GR Arcade Kasavanahalli,1,248,248.0
Malleshpalya,2,491,245.5
80Feet RT Nagar Main Road Rt Nagar,1,237,237.0
NO 9 8TH E MAIN Vidyaranyapura,1,236,236.0
National Games Village Complex KHB Games Village,1,234,234.0
Kothanur Post Office Road Kothanur,1,226,226.0
Ramamurthy Nagar,2,451,225.5
Jindal,1,223,223.0
Bull Temple Main Road Basavanagudi,2,428,214.0
#121 Sahakara Nagar,1,212,212.0
Oil Mill Road Kammanahalli,4,844,211.0
Uttarahalli Main Road Uttarahalli,2,419,209.5
Ivri Road Yelahanka,1,208,208.0
Mosque Road Frazer Town,3,620,206.66666666666666
Kagdaspura Main Road C V Raman Nagar,1,205,205.0
Amruthalli Main Road Jakkur Jakkur,1,203,203.0
Devarchikkanahalli Road Chikkanahalli Road,1,203,203.0
Gnana Bharathi Main Road Nagarbhavi,1,202,202.0
Devasthanagalu,1,202,202.0
Chikkalasandra Ramanjaneya Nagar,1,200,200.0
Banashankari 3rd Stage,1,197,197.0
Konanakunte Main Road Konanakunte Cross,1,196,196.0
HSR Layout HSR Layout,1,196,196.0
80 Feet Road Padmanabhanagar,1,194,194.0
Near It Park It Layout Sector 7 HSR Layout Sector 7,1,194,194.0
Begur Road,1,190,190.0
Nagarabhavi Nagarbhavi,1,188,188.0
Hormavu Main Road Banaswadi,2,376,188.0
Bannerghatta Main Road Bilekahalli,2,374,187.0
Shirdi Sai Nagar-Munekollal,1,186,186.0
Vijaya Bank Layout,1,183,183.0
Anjanapura,1,180,180.0
K Narayanapura Road Kothanur,1,180,180.0
Road Hebbal,1,178,178.0
Dayanandasagar College Road Kumaraswamy Layout,1,176,176.0
Vasanthapura Main Road Vasanthpura,1,169,169.0
C V Raman Nagar,2,336,168.0
Double Road Doddakallasandra,1,167,167.0
HBR Layout,1,164,164.0
Pottery Road Frazer Town,1,163,163.0
Gangadhar Chetty Road Ulsoor,1,162,162.0
Guru Nanak Vihar Race Course,1,161,161.0
Al Badar Road Rajivnagar,1,160,160.0
Nagarabhavi Ring Road Nagarbhavi 2nd Stage,1,157,157.0
Sarvabhouma Nagar Bilekahalli,1,156,156.0
R T Nagar Main Road Rt Nagar,1,156,156.0
Umarbagh Layout,1,156,156.0
Hrbr Layout,2,311,155.5
Outer Ring Road Mahadevapura,1,155,155.0
Ms Ramaiah Road Mathikere,1,154,154.0
Ramakrishna Garden Girinagar,1,153,153.0
Begur Main Road Bommanahalli,1,152,152.0
GNR Gardens Babusapalya,1,152,152.0
East Jayanagar,1,151,151.0
Srinivasnagar Main Road Banashankari,1,149,149.0
Tumkur Road Yeshwanthpur,1,147,147.0
Kasturba Cross Road Lavelle Road,1,146,146.0
HSR Layout Sector 2,1,143,143.0
Manipal County Road Aecs B Block,1,141,141.0
Krishnagiri Bye Pass Road Jalagandeswarar Nagar,1,140,140.0
B Block Sahakara Nagar,1,140,140.0
Ngef Layout Nagarbhavi,1,140,140.0
Vigneshwar Nagar,1,139,139.0
Vijayanagar,1,139,139.0
Srinivas Complex Doddaballapur,1,138,138.0
Bhootnath Road Chitragupta Nagar,1,136,136.0
Nandanam Colony Banaswadi Main Road,1,136,136.0
Aecs Layout Kundalahalli,1,135,135.0
Wheeler Road Frazer Town,1,133,133.0
Basaveshwaranagar Main Road Basaveshwara Nagar,1,133,133.0
Ittamadu,1,132,132.0
Jp Nagar 6th Phase,2,260,130.0
Sarjapur Outer Ring Road Bellandur,1,130,130.0
Krishnarajapuram,1,130,130.0
Byataranyanapura,3,381,127.0
Between Jp Nagar 7th Phase,1,124,124.0
Teachers Colony-Koramangala,1,124,124.0
Richmond Rd Ashoknagar,1,122,122.0
Anjaneya Nagar Banashankari 3rd Stage,1,121,121.0
Block C Sahakara Nagar,1,119,119.0
Road Sahakara Nagar,1,119,119.0
S Kariyappa Road Jayanagar,3,357,119.0
HSR Sector5/jakkasandra Koramangala,1,117,117.0
Thambu Chetty Palya Main Road Ragavendra Circle,1,116,116.0
Muneshwara Block Banashankari 3rd Stage,2,228,114.0
Road Jp Nagar,1,113,113.0
Peenya 2nd Stage Hegganahalli Cross,1,113,113.0
Hsr Layout Sector 4,1,111,111.0
Panduranga Nagar,1,108,108.0
R V Road Cross Basavanagudi,1,107,107.0
Jp Nagar 5th Phase,4,426,106.5
Aecs Layout C Block Aecs Layout Bengaluru Brookefield,1,105,105.0
Anugraha Layout,1,102,102.0
Hsr Layout,2,202,101.0
Dr. Shivaramkaranth Nagar Mcehslayout Hegde Nagar,2,202,101.0
Puttenahalli Main Road Jp Nagar 7th Phase,1,101,101.0
Vidyaranyapura,1,99,99.0
M G Road Bm Road,1,98,98.0
Bengaluru Cooke Town,1,98,98.0
Marathahalli Outer Ring Road Marathahalli,1,98,98.0
Hill View Residency Road Uttarahalli,1,96,96.0
Chandra Layout Vijayanagar,1,95,95.0
Dasarahalli Hebbal,1,94,94.0
Road Thanisandra,1,94,94.0
Kachohalli Main Road ISRO Layout Kumaraswamy,1,94,94.0
Bannerghatta Road Arekere Village,1,91,91.0
Sahakara Nagar,1,91,91.0
Old Alwal-Alwal,1,90,90.0
Horamavu Main Road Banaswadi,1,89,89.0
Nagarbhavi,2,176,88.0
Vinayaka Layout-Nagarbhavi,1,86,86.0
80 Feet Road Rt Nagar,1,86,86.0
Sodepur Appareddipalya Bengaluru Indiranagar,1,86,86.0
