area,rating
#121 Sahakara Nagar,5.0
HSR Sector5/jakkasandra Koramangala,5.0
Marathahalli Outer Ring Road Marathahalli,5.0
Main Road Kaggadasapura Road,5.0
Magadi Main Road Anjananagar,5.0
Kothnur Main Road Jp Nagar 7th Phase,5.0
Kempegowda Layout Outer Ring Road Laggere,5.0
Kachohalli Main Road ISRO Layout Kumaraswamy,5.0
KV Layout Jayanagar,5.0
Joyshree Sangha Kalitala Kolkata Bansdroni,5.0
Ivri Road Yelahanka,5.0
Heritage Noah's Ark Sarjapura,5.0
Hanumantha Nagar-Banashankari,5.0
Gaddige Main Road Bogadi,5.0
Bannerghatta Road Akshayanagar,5.0
GNR Gardens Babusapalya,5.0
Dr Subbarayan Road Agraharam,5.0
Double Road Doddakallasandra,5.0
Devasthanagalu,5.0
Dasarakoppalu Circle Salagame Road,5.0
Dasarahalli Main Road Hebbal,5.0
Dasarahalli Hebbal,5.0
Chikkalasandra Ramanjaneya Nagar,5.0
Bondir Wado Panaji Santa Cruz,5.0
Between Jp Nagar 7th Phase,5.0
Begur Road,5.0
Nandhini Layout. Nandini Layout,5.0
National Games Village Complex KHB Games Village,5.0
No.26 2nd Floor Akashya Commercial Complex Victoria Layout,5.0
Oil Mill Road Kammanahalli,5.0
Virgonagar,5.0
Vinayaka Layout-Nagarbhavi,5.0
Vigneshwar Nagar,5.0
Tumkur Road Yeshwanthpur,5.0
Sultanpalya Main Road Rt Nagar,5.0
Sidco Krishnagiri Courts,5.0
Sarvabhouma Nagar Bilekahalli,5.0
Sai Baba Temple Next Vidyaranyapura,5.0
Sahayadri Layout Sidedahalli,5.0
Rs Garden Bommasandra,5.0
Robertson Road Frazer Town,5.0
Roadclub Road Hsr Layout,5.0
Road Yelahanka New Town,5.0
Road Nagaraja Garden,5.0
Road Kogilu,5.0
Road Devarachikkana Halli,5.0
Road C V Raman Nagar,5.0
Road Agrahara Dasarahalli,5.0
Richmond Rd Ashoknagar,5.0
Rayasandra Main Road Naganathapura,5.0
Rayakotta Road Old Rayakottah HUDCO,5.0
Rajupeta Colony Ramalayam,5.0
Old Bus Stand Road Pandavapura,5.0
Basavanagar Main Road Basava Nagar,5.0
Kereguddadahalli,5.0
80 Feet Road Padmanabhanagar,5.0
An Gupta Layout,5.0
2nd Phase Girinagar,5.0
2nd Floor Jp Nagar 7th Phase,5.0
Ayyappa Nagar-Krishnarajapura,5.0
21st Km Kanakapura Road,5.0
1st Phase Bharat Nagar,5.0
2nd Stage Rajajinagar,5.0
Anugraha Layout,5.0
Byataranyanapura,4.966666666666667
Ramamurthy Nagar,4.95
Rajarajeshwari Nagar,4.95
HSR Layout,4.933333333333334
Mg Layout Mullur,4.9
Girinagar,4.9
Road Jayanagar,4.9
Mc Layout,4.9
Anjanapura,4.9
Road Sahakara Nagar,4.9
Road Thanisandra,4.9
Road Hebbal,4.9
Road Vijayanagar,4.9
Electronic C electronic city,4.9
Banashankari 3rd Stage,4.9
Rt Nagar Rt Nagar,4.9
1st Jp Nagar 7th Phase,4.9
Gnana Bharathi Main Road Nagarbhavi,4.9
Balaji Street Ramamurthy Nagar,4.9
Govt Boys College Main Road Kolar Fort,4.9
Modi Hospital Road Basaveshwara Nagar,4.9
Horamavu Main Road Banaswadi,4.9
Hill View Residency Road Uttarahalli,4.9
Hrbr Layout,4.9
Hesarghatta Main Road Hessargatta Main Road,4.9
Opp.Hampinagar Bus Stand Rpc Layout,4.9
Ngef Layout Nagarbhavi,4.9
Panduranga Nagar,4.9
Peenya 2nd Stage Hegganahalli Cross,4.9
Netajinagar T Dasarahalli,4.9
Nandanam Colony Banaswadi Main Road,4.9
Rachenahalli Bengaluru Thanisandra,4.9
Immadihalli Main Road Whitefield,4.9
80 Feet Road Kathriguppe,4.9
Ramakrishna Garden Girinagar,4.9
Nagarabhavi Nagarbhavi,4.9
Ranka Colony Road Bilekahalli,4.9
NO 9 8TH E MAIN Vidyaranyapura,4.9
Muthyalamma Temple Complex Doddaballapura Doddaballapur,4.9
Dollars Colony-RMV 2nd Stage,4.9
Guava Garden KHB Road Koramangala,4.9
19 Khb Colony Bengaluru Koramangala,4.9
Dodda Basti Main Road Sonnenahalli,4.9
Bhootnath Road Chitragupta Nagar,4.9
Aecs Layout C Block Aecs Layout Bengaluru Brookefield,4.9
Teachers Colony-Koramangala,4.9
Thigala Chowdadenahalli Dommasandra,4.9
Thindlu Main Road Vidyaranyapura,4.9
Bengaluru Cooke Town,4.9
Laggere Main Road Laggere,4.9
Vidyaranyapura,4.9
Kagdaspura Main Road C V Raman Nagar,4.9
Begur Main Road Bommanahalli,4.9
Vijayanagar,4.9
Krishnarajapuram,4.9
Vmr Complex 4th Floor Kundalahalli,4.9
Bannerghatta Road Bannerghatta Road,4.9
Bannerghatta Road Arekere Village,4.9
Wazir Hussain Gokhale Vihar Marg,4.9
Whitefield Hoskote Road Belathur,4.9
Bannerghatta Main Road BTM Layout 2nd Stage,4.9
Bangarappanagar Main Road Bangarappanagar,4.9
Kodigehalli Police Station Kodigehalli,4.9
Yelahanka New Town,4.9
Banaswadi,4.9
Sarjapur Road Attibele,4.9
Bhagwat Nagar Chauraha,4.9
108 3RD FLOOR 4TH Nagasandra,4.9
12 Bangalore Highways Karumbalai Karuppur,4.9
Seegehalli Road Chaitanya Ananya,4.9
Devachikkahalli Main Road Begur,4.9
Seshadripuram,4.9
Arakere,4.9
Sharada Nagar-Bikasipura,4.9
Shirdi Sai Nagar-Munekollal,4.9
Shop. No- 125 Ganesh Nagar Vistar Jaipur Jhotwara,4.9
Channel Road Ck Road,4.9
CBI Road Rt Nagar,4.9
Chandra Layout Vijayanagar,4.9
Bull Temple Main Road Basavanagudi,4.9
Srinivas Complex Doddaballapur,4.9
Main Road Golahalli,4.9
Malleshpalya,4.9
Srinivasnagar Main Road Banashankari,4.9
Brookfield Marathahalli,4.9
Hoysala Nagar-Indiranagar,4.9
Mathikere Main Road Mathikere,4.8
Kundanahalli Kundalahalli,4.8
Off 80 Feet Road Koramangala,4.8
Marsur Gate Marsur,4.8
Neeladri Road Electronic City,4.8
Manipal County Road Aecs B Block,4.8
Mathikere,4.8
Marathahalli Sarjapur Road HSR Layout,4.8
Ms Ramaiah Road Mathikere,4.8
Kothanur Post Office Road Kothanur,4.8
Road Kasturi Nagar,4.8
Old Alwal-Alwal,4.8
2nd Phase Vijaynagar 4th Stage,4.8
Wilson Garden,4.8
Wheeler Road Frazer Town,4.8
Vishwajit Layout Vignana Nagar,4.8
1 Street Main Road Ilyas Nagar,4.8
Vijaya Bank Layout,4.8
Venkateshwara Layout,4.8
Tatabad 3rd Street Tatabad,4.8
Street No:2 Manikonda,4.8
Street No 2 Lalammagarden Manikonda,4.8
Stage 2 Isro Layout,4.8
S Kariyappa Road Jayanagar,4.8
Rrmp Extension K H Road,4.8
Royal Mart Building 2nd Floor Padmanabhanagar,4.8
Agb Layout Chikkabanavara Bengaluru Chikbanavara,4.8
80 Feet Road Koramangala,4.8
Road Jp Nagar,4.8
Road Jakkasandra,4.8
2nd Stage Indiranagar,4.8
Road Circular Street,4.8
Road Bns Layout,4.8
Road Bannerghatta Road,4.8
Ramna Kharbi,4.8
Rajajinagar 2nd Stage,4.8
R V Road Cross Basavanagudi,4.8
Puttenahalli Main Road Jp Nagar 7th Phase,4.8
Pragati Puram Habibulla Nagar,4.8
Panathur Post Bellandur,4.8
Outer Ring Road Mahadevapura,4.8
Kodigehalli Main Road Krishnarajapuram,4.8
Marathahalli Sarjapur Road Kaikondrahalli,4.8
Kaveri Kantha Koramangala,4.8
E Block Brookefield,4.8
Hsr Layout Sector 4,4.8
Hebbagodi,4.8
Anekal Main Road Tavarekere Road,4.8
HMT Main Road Mathikere,4.8
Jp Nagar 6th Phase,4.8
HBR Layout,4.8
Guru Nanak Vihar Race Course,4.8
Guddahalli Thammenahalli Village,4.8
Ittamadu,4.8
Ejipura Main Road Ejipura,4.8
GR Arcade Kasavanahalli,4.8
Bengaluru Kalkere Bengaluru Dodda Kempaiah Layout,4.8
Bengaluru Jayanagar,4.8
Babusapalya,4.8
Kammanahalli,4.8
Malleswaram,4.766666666666667
Uttarahalli Main Road Uttarahalli,4.75
Hsr Layout,4.75
C V Raman Nagar,4.75
Hormavu Main Road Banaswadi,4.75
HSR Layout Sector 2,4.7
HSR Layout Sector 7,4.7
Wipro Signal Koramangala,4.7
Thambu Chetty Palya Main Road Ragavendra Circle,4.7
Outer Ring Road Marathahalli,4.7
Hebbal,4.7
Virat Nagar-Bommanahalli,4.7
Hosur Main Road Electronic City Phase 2,4.7
Yellanahalli,4.7
HSR Layout HSR Layout,4.7
Vani Vilas Road Basavanagudi,4.7
Ramamurthy Nagara Main Road Ramamurthy Nagar,4.7
Vasanthapura Main Road Vasanthpura,4.7
Sultan Palya Main Road Rt Nagar,4.7
VENKATESH MURTHY RD. Banashankari,4.7
Gowri Kaluve Chikmagalur Fort,4.7
Road Goripalya,4.7
Road HSR Layout,4.7
Dr. Shivaramkaranth Nagar Mcehslayout Hegde Nagar,4.7
Annasandrapalya Extension,4.7
B Wing 3rd Floor Patni Chowk,4.7
Subbanapalaya,4.7
Near It Park It Layout Sector 7 HSR Layout Sector 7,4.7
3rd Floor RMV Extension 2nd Stage,4.7
Amruthalli Main Road Jakkur Jakkur,4.7
Kumaraswamy Layout 2 Stage,4.7
Kumaraswamy Layout Kumaraswamy Layout 1st Stage,4.7
K. R. Road Jayanagar,4.7
K Narayanapura Road Kothanur,4.7
Road Koramangala,4.65
Koramangala,4.633333333333334
Jayanagar,4.6000000000000005
Manipalcounty Road Bommanahalli,4.6
Road Ganga Nagar Extension,4.6
Umarbagh Layout,4.6
Vyalikaval Hbcs Layout Nagawara,4.6
Btm 6th Stage Hulimavu,4.6
Road Banashankari 2nd Stage,4.6
Judicial Layout Gkvk,4.6
Balaji Mandir Pally Sushmapally,4.6
Maruthi Nagar Madiwala,4.6
Brookefield,4.6
Gandhi Circle Varthur Varthur,4.6
Sodepur Appareddipalya Bengaluru Indiranagar,4.6
Gandhi Bazar Main Road Basavanagudi,4.6
Basaveshwaranagar Main Road Basaveshwara Nagar,4.6
Electronic City,4.6
East Jayanagar,4.6
M G Road Bm Road,4.6
Kormangala Koramangala,4.6
Basti Gobindgarh Road Nanak Pura,4.6
Dr Rajkumar Road Rajajinagar,4.6
Sahakara Nagar,4.6
VLM English School Sunder Nagar,4.6
Sanatana Eternal 1st Floor Himayat Nagar,4.6
Victoria Layout Victoria Road,4.6
Sector 12 Chopasni Housing Board,4.6
HSR Layout Sector 1,4.6
Dayanandasagar College Road Kumaraswamy Layout,4.6
Muneshwara Block Banashankari 3rd Stage,4.6
Kasturba Cross Road Lavelle Road,4.6
Hennur Bagalur Main Road Byrathi,4.6
Opposite BMTC Bus Stand Chandra Layout,4.6
New Kantharaj Urs Road Tk Layout,4.6
Kothnur Village Main Road Jp Nagar,4.6
80Feet RT Nagar Main Road Rt Nagar,4.6
ITI Layout Kathriguppe,4.6
Sudhama Nagar,4.6
Nagarbhavi,4.6
Anand Layout Vidyaranyapura,4.6
Double Road9th Main Road Ramamurthy Nagar,4.5
Thyagaraj Nagar,4.5
Banaswadi Main Road Banaswadi,4.5
Muthyalamma Temple Road Doddaballapur,4.5
Beml Layout Rajarajeshwari Nagar,4.5
Hsr Layout Sector 2,4.5
Anekal Taluk Attibele,4.5
Dinnur Main Road Rt Nagar,4.5
Hsr Layout Sector 1,4.5
Krishnagiri Bye Pass Road Jalagandeswarar Nagar,4.5
Devarchikkanahalli Road Chikkanahalli Road,4.5
BTM Layout 2nd Stage,4.5
Pottery Road Frazer Town,4.5
BTM 4th Stage Vijaya Bank Layout,4.5
Hessargatta Main Road,4.5
HORAMAVU MAIN ROAD Horamavu,4.5
4th Phase Yelahanka New Town,4.5
Kengeri Ring Road Gnanabharathi,4.5
Ombr Layout-Banaswadi,4.5
Kammanahalli Main Road Kammanahalli,4.5
Jp Nagar 5th Phase,4.5
Jp Nagar,4.5
Rajajinagar,4.466666666666667
Kalyan Nagar,4.466666666666667
Bangalore,4.45
Al Badar Road Rajivnagar,4.4
Street John'S Road St Johns Road,4.4
Jindal,4.4
80 Feet Road Vijayanagar,4.4
Garvebhavipalya,4.4
Block C Sahakara Nagar,4.4
Govindaraj Nagar-Vijaynagar,4.4
Outer Ring Road Hrbr Layout,4.4
Sarjapur Outer Ring Road Bellandur,4.4
16th Jp Nagar 5th Phase,4.3
Bannerghatta Main Road Bilekahalli,4.3
Bannerghatta Main Road Bannerghatta Road,4.3
Nagarabhavi Ring Road Nagarbhavi 2nd Stage,4.3
R T Nagar Main Road Rt Nagar,4.3
K H Road Shanthinagar,4.3
Sadashivanagar,4.3
Marathalli Outer Ring Road Marathahalli,4.3
Lakshmi Srinivasa Complex Rt Nagar,4.3
Brindavan Layout Road Horamavu,4.3
4th Stage Basaveshwara Nagar,4.3
Sitamani Sita Manimain Road,4.3
Giddenahalli Road Jigani,4.3
9th Crs Jayanagar,4.3
J.p Nagar 6th Jp Nagar,4.3
Jakkur Plantation,4.3
Mosque Road Frazer Town,4.266666666666667
1st Sector Hsr Layout,4.2
Next to G T Residential Layout Laggere,4.2
Krishnappa Garden C V Raman Nagar,4.2
Gulmohor Road Savedi,4.2
8th Mile Peenya Nagasandra,4.2
80 Feet Road Rt Nagar,4.2
Old Airport Road Old Airport Road,4.2
HSR Layout Sector 3,4.2
Whitefield Main Road Whitefield,4.14
Cil Layout,4.1
Panathur Road Kadubeesanahalli,4.1
Nagadevanahalli-gnanabharathi,4.1
HRBR Layout Kalyan Nagar,4.1
100 Feet Main Road Jayanagar,4.1
80 Feet Road HAL 2nd Stage Indiranagar,4.1
Gangadhar Chetty Road Ulsoor,4.1
Basaveshwara Nagar,4.075
Kogilu Main Road Kogilu,4.0
Whitefield Whitefield Main Road,4.0
Vinayaka Layout Nagarbhavi 2nd Stage,4.0
Mysore Road Kumbalgodu,4.0
Sair Bagh Cunningham Road,4.0
Brigade Road Brigade Road,4.0
Nagla Masani Pratibha Colony,4.0
Spencer Road Pulikeshi Nagar,4.0
Gurudwara Road Model Town,4.0
Residency Road Residency Road,4.0
Green Glen Layout Bellandur,4.0
Assaye Road,4.0
Ist Cross Road Bhagyalakshmi Avenue,4.0
Saraswathipuram Main Road Saraswathipuram,4.0
Sun Pharma Road Bhaili,4.0
Dwaraka Nagar Bengaluru Nms Layout,4.0
Munnekollal Marathahalli,3.9
100 Feet Inner Ring Road Koramangala,3.9
Bellary Road Sadashivanagar,3.9
Kaggadasapura Main Road Kagadasspura,3.9
Mathikere Market Road Mathikere,3.9
#44 CNR Complex Vinayaka Nagar Yelahanka,3.8
B Block Sahakara Nagar,3.8
100 Feet Road Indiranagar Indiranagar,3.8
Aecs Layout Kundalahalli,3.7
S Lachit Nagar Main Road,3.6
Anjaneya Nagar Banashankari 3rd Stage,3.6
Konanakunte Main Road Konanakunte Cross,3.6
Amruthur Road Yediyur,3.6
Yelahanka,3.5
ajmer Nagra,3.5
Ambedkar Nagar Hill Top Whitefield,3.5
Sanjay Nagar Main Road Sanjay Nagar,3.5
Pes Vidya Kendra Nelamangala Town Nelamangala,3.0
Gandhi Bazaar main road Basavanagudi,3.0
Bg Road Krishna Layout Extension,3.0
HSR LAYOUT SECTOR 5,2.5
Nagareshwara Nagenahalli Main Road K Narayanapura,2.5
